"Rank","Player","Player_ID","Projected_Rating","Rating_StdErr","Projected_Stdev","Weight_Sum","Rounds_Player","Avg_SoS","Center_Wt","Primary_Player","Country","Rounds_Last_Year","Recent_Tour","Common_Tour","estimate","std.error","p.value","Sample_Stdev","Expected_Stdev"
65,"John Huh","14606",-0.802313299395419,0.637004599146223,2.88178851634906,87.6360592391605,262,-0.628318105640432,0.43924298837508,1,"USA",104,"PGA Tour","PGA Tour",-0.960767991108829,0.599408647366189,4.2109534045074e-10,2.88989903989552,2.81050354805467
66,"Boo Weekley","7403",-0.796373534093629,0.635647008932265,2.78322367565053,87.934807821732,336,-0.673643093571696,0.431008219245513,1,"USA",112,"PGA Tour","PGA Tour",-0.951859166467804,0.599173127896828,4.55873141958169e-10,2.65691647379828,2.709665460668
67,"Gonzalo Fdez-Castano","8262",-0.795145501660141,0.636295629996745,2.76591883754329,90.0406824170983,325,-0.281205486298458,0.443746785616086,1,"ESP",96,"European Tour","European Tour",-0.964483719764614,0.599357070536724,4.03319224160766e-10,2.61731789087782,2.69173454989972
68,"Bryce Molder","7292",-0.781264659351636,0.638552229025773,2.7732283118543,77.2954401629395,335,-0.634730562714524,0.384193536711916,1,"USA",92,"PGA Tour","PGA Tour",-0.958280819338679,0.602029052942208,5.14284066775507e-10,2.62240575320477,2.69871197434562
69,"Marc Leishman","7649",-0.779806294918283,0.630395450744005,2.80647270022023,85.2866862056776,383,-0.512717966496809,0.369573218209128,1,"AUS",91,"PGA Tour","PGA Tour",-0.945421980018121,0.599971563630062,5.14678307056769e-10,2.71420118341727,2.73475603898459
70,"Bob Estes","889",-0.779245206848917,0.653335557593419,2.78514367570259,63.2570146422483,268,-0.581702666487567,0.371805105694851,1,"USA",72,"PGA Tour","PGA Tour",-0.997343640595434,0.607261905354763,4.80156407666055e-10,2.63003896734819,2.70743013640061
71,"Carl Pettersson","7048",-0.778179708446828,0.630251462052972,2.71901168541084,81.7934145892036,394,-0.717420165964526,0.346163083870045,1,"SWE",89,"PGA Tour","PGA Tour",-0.941699052586095,0.600787155056861,5.64885334478588e-10,2.49727311833492,2.64495891083033
72,"Tim Clark","3849",-0.767263034896607,0.661263023670799,2.92041769874582,64.3883356946528,246,-0.663350474097763,0.442021227749016,1,"RSA",78,"PGA Tour","PGA Tour",-0.977030725830754,0.606798393327814,5.76460061079479e-10,3.01347180412547,2.84456864017615
73,"Jonas Blixt","8182",-0.762933429809788,0.63303781756151,2.86456090978989,92.7002773003101,344,-0.535807311193886,0.434870578473809,1,"SWE",104,"PGA Tour","Web.com Tour",-0.91456679352135,0.598243335133998,6.37213964780942e-10,2.84799761871936,2.79373805633836
74,"Russell Knox","13831",-0.753345956338118,0.636548046013808,2.63610603152182,89.4607471250262,270,-0.0306099319453214,0.447394953873058,1,"SCO",103,"Web.com Tour","Web.com Tour",-0.932439482777816,0.598781075586292,5.4614635408265e-10,2.31141012969496,2.55809726057117
75,"Stewart Cink","5665",-0.71876672146512,0.648998615153766,2.80458587029116,66.1494451057523,304,-0.706302415442566,0.369179819158871,1,"USA",80,"PGA Tour","PGA Tour",-0.917079772151809,0.606039675202652,1.02433451960703e-09,2.69101735478369,2.72846159976007
76,"Camilo Villegas","9171",-0.708912391971685,0.637288234308701,2.88733531290284,82.1486298231392,341,-0.557095341456302,0.40799321863373,1,"COL",93,"PGA Tour","PGA Tour",-0.874726701575492,0.600682122572898,1.13250034617097e-09,2.90869728690222,2.81612658017132
