"Player_Name","Player_ID","Country","WGR_Rank","Event_Name","Event_ID","Event_Date","Event_Tour_1","Event_Tour_2","Event_Tour_3","Scrape_Date"
"Adrian Otaegui",14975,"ESP","284","Turkish Airlines Open",6439,2016-11-06,"European Tour",NA,NA,2016-11-02
"Pelle Edberg",8574,"SWE","289","Turkish Airlines Open",6439,2016-11-06,"European Tour",NA,NA,2016-11-02
"Felipe Aguilar",8135,"CHI","296","Turkish Airlines Open",6439,2016-11-06,"European Tour",NA,NA,2016-11-02
"Robert Karlsson",4331,"SWE","304","Turkish Airlines Open",6439,2016-11-06,"European Tour",NA,NA,2016-11-02
"S.S.P. Chawrasia",7040,"IND","305","Turkish Airlines Open",6439,2016-11-06,"European Tour",NA,NA,2016-11-02
"Renato Paratore",16549,"ITA","315","Turkish Airlines Open",6439,2016-11-06,"European Tour",NA,NA,2016-11-02
"Nino Bertasio",13013,"ITA","325","Turkish Airlines Open",6439,2016-11-06,"European Tour",NA,NA,2016-11-02
"Johan Carlsson",11658,"SWE","332","Turkish Airlines Open",6439,2016-11-06,"European Tour",NA,NA,2016-11-02
"Magnus A Carlsson",7823,"SWE","350","Turkish Airlines Open",6439,2016-11-06,"European Tour",NA,NA,2016-11-02
"Matteo Manassero",11460,"ITA","356","Turkish Airlines Open",6439,2016-11-06,"European Tour",NA,NA,2016-11-02
"Justin Walters",8045,"RSA","368","Turkish Airlines Open",6439,2016-11-06,"European Tour",NA,NA,2016-11-02
"Lasse Jensen",10170,"DEN","370","Turkish Airlines Open",6439,2016-11-06,"European Tour",NA,NA,2016-11-02
"Marcel Siem",6950,"GER","375","Turkish Airlines Open",6439,2016-11-06,"European Tour",NA,NA,2016-11-02
"Paul Lawrie",5105,"SCO","377","Turkish Airlines Open",6439,2016-11-06,"European Tour",NA,NA,2016-11-02
"Gregory Havret",6239,"FRA","402","Turkish Airlines Open",6439,2016-11-06,"European Tour",NA,NA,2016-11-02
"Daniel Brooks",12897,"ENG","423","Turkish Airlines Open",6439,2016-11-06,"European Tour",NA,NA,2016-11-02
"David Drysdale",6867,"SCO","431","Turkish Airlines Open",6439,2016-11-06,"European Tour",NA,NA,2016-11-02
"Oliver Fisher",10863,"ENG","435","Turkish Airlines Open",6439,2016-11-06,"European Tour",NA,NA,2016-11-02
