"Event_ID","Status_Scrape","Scrape_Date","Event_Name","Event_Date"
3699,"Tournament Results Collected",2016-01-28,"HSBC New Zealand PGA Championship",2007-02-25
3700,"Tournament Results Collected",2016-01-28,"Telkom PGA Championship",2007-02-25
3701,"Tournament Results Collected",2016-01-28,"Honda Classic",2007-03-04
3702,"Tournament Results Collected",2016-01-28,"Johnnie Walker Classic",2007-03-04
3703,"Tournament Results Collected",2016-01-28,"PODS Championship",2007-03-11
3704,"Tournament Results Collected",2016-01-28,"Clariden Leu Singapore Masters",2007-03-11
3705,"Tournament Results Collected",2016-01-28,"Tusker Kenya Open",2007-03-11
3706,"Tournament Results Collected",2016-01-28,"Arnold Palmer Invitational ",2007-03-18
3707,"Tournament Results Collected",2016-01-28,"TCL Classic",2007-03-18
3708,"Tournament Results Collected",2016-01-28,"WGC - CA Championship",2007-03-25
3709,"Tournament Results Collected",2016-01-28,"Chitimacha Louisiana Open",2007-03-25
3710,"Tournament Results Collected",2016-01-28,"Motorola International Bintan",2007-03-25
3711,"Tournament Results Collected",2016-01-28,"Madeira Islands Open BPI",2007-03-25
3712,"Tournament Results Collected",2016-01-28,"Shell Houston Open",2007-04-01
3713,"Tournament Results Collected",2016-01-28,"Estoril Open de Portugal",2007-04-01
3714,"Tournament Results Collected",2016-01-28,"Livermore Valley Wine Country Championship",2007-04-01
3715,"Tournament Results Collected",2016-01-28,"MASTERS TOURNAMENT",2007-04-08
3716,"Tournament Results Collected",2016-01-28,"Verizon Heritage",2007-04-15
3717,"Tournament Results Collected",2016-01-28,"South Georgia Classic",2007-04-15
3718,"Tournament ID Not Valid",2016-01-28,NA,NA
3719,"Tournament Results Collected",2016-01-28,"Volvo China Open",2007-04-15
3720,"Tournament Results Collected",2016-01-28,"Token Homemate Cup",2007-04-15
3721,"Tournament Results Collected",2016-01-28,"San Jose International Open",2007-04-15
3722,"Tournament Results Collected",2016-01-28,"Zurich Classic of New Orleans",2007-04-22
