"Player_ID","Player_Name"
787,"Bob Ford"
788,"Oliver Leglise"
789,"Randy Watkins"
790,"Tray Tyner"
791,"Harumitsu Hamano"
792,"Casey Nakama"
793,"Don Levin"
794,"Anthony Gilligan"
795,"Curt Worden"
796,"Kim Young"
797,"Craig McClellan"
798,"Chung Chun-Hsing"
799,"Ted Schulz"
800,"Philip Jonas"
801,"Griff Rudolph"
802,"David Whelan"
803,"Johan Rystrom"
804,"David Gilford"
805,"Mario Siodina"
806,"Tomohiro Maruyama"
807,"Tracy Nakazaki"
808,"Lin Chie-Hsiang"
809,"f5 f5"
810,"Limjin Han"
811,"Tohru Nakayama"
812,"Emlyn Aubrey"
813,"Bob Proben"
814,"Toshimitsu Izawa"
815,"f27 f27"
816,"Joey Rassett"
817,"Brandel Chamblee"
818,"Gregory Meyer"
819,"Satoru Furuyama"
820,"h21 h21"
821,"Chip Johnson"
822,"Kent Stauffer"
823,"John de Forrest"
824,"Akira Kawamata"
825,"Kiyoshi Murota"
826,"h12 h12"
827,"Hajime Matsui"
828,"Steve Lowery"
829,"Brent Franklin"
830,"St"
831,"Sandy Morrison"
832,"Satoshi Hatsumi"
833,"Jay Overton"
834,"Anders Sorensen"
835,"Tetsu Nishikawa"
836,"Martin Sludds"
837,"Peter Mitchell"
838,"Marc Pendaries"
839,"Eoghan O"
840,"Bryan Norton"
841,"Akihito Yokoyama"
842,"Yasuo Sone"
843,"Kiyotaka Oga"
844,"Akimitsu Tokita"
845,"Gordon Smith"
846,"Barry Cheesman"
847,"Kiyoshi Maita"
848,"Masaru Amano"
849,"Phillip Archer"
850,"Brett Johns"
851,"Jun Murota"
852,"Glenn Joyner"
853,"Bradley Hughes"
854,"Terry Price"
855,"Rick Pearson"
856,"Jim Vernon"
857,"William Kane"
858,"Kevin Stone"
859,"MMMMMMM M"
860,"Craig Warren"
861,"Steve Rintoul"
862,"David De Long"
863,"John Daly"
864,"J C Anderson"
865,"Tim Robinson"
866,"BBBBBBB BBB"
867,"Mike Swartz"
868,"David Wood"
869,"Wayne Stephens"
870,"John Vingoe"
871,"David Ecob"
872,"Louis Brown"
873,"Don Reese"
874,"Ernie Els"
875,"Bruce Vaughan"
876,"Lucian Tinkler"
877,"Jack Kay"
878,"Webb Heintzelman"
879,"Robin Freeman"
880,"Hank Gardner"
881,"Steve Thomas"
882,"Mike Hammond"
883,"Mark Maness"
884,"Bob Wolcott"
885,"Jay Lumpkin"
886,"Paul Trittler"
887,"David Jackson"
888,"Beau Baugh"
889,"Bob Estes"
890,"Tom Garner"
891,"Robert Wilkin"
892,"Lee Janzen"
893,"Dewey Arnette"
894,"Bob Lunn"
895,"Homero Blancas"
