"Player_Name","Player_ID","Country","WGR_Rank","Event_Name","Event_ID","Event_Date","Event_Tour_1","Event_Tour_2","Event_Tour_3","Scrape_Date"
"Hyunwoo Ryu",13928,"KOR","331","BMW ISPS HANDA New Zealand Open ",6132,2016-03-13,"PGA Tour Australasia",NA,NA,2016-03-09
"Michael Hendry",11885,"NZL","379","BMW ISPS HANDA New Zealand Open ",6132,2016-03-13,"PGA Tour Australasia",NA,NA,2016-03-09
"Brendan Jones",6254,"AUS","388","BMW ISPS HANDA New Zealand Open ",6132,2016-03-13,"PGA Tour Australasia",NA,NA,2016-03-09
"Rohan Blizard",11838,"AUS","393","BMW ISPS HANDA New Zealand Open ",6132,2016-03-13,"PGA Tour Australasia",NA,NA,2016-03-09
"David Bransdon",5624,"AUS","400","BMW ISPS HANDA New Zealand Open ",6132,2016-03-13,"PGA Tour Australasia",NA,NA,2016-03-09
"Daniel Fox",10112,"AUS","424","BMW ISPS HANDA New Zealand Open ",6132,2016-03-13,"PGA Tour Australasia",NA,NA,2016-03-09
"Scott Arnold",11810,"AUS","428","BMW ISPS HANDA New Zealand Open ",6132,2016-03-13,"PGA Tour Australasia",NA,NA,2016-03-09
"James Nitties",7388,"AUS","447","BMW ISPS HANDA New Zealand Open ",6132,2016-03-13,"PGA Tour Australasia",NA,NA,2016-03-09
"Shintaro Kobayashi",10560,"JPN","458","BMW ISPS HANDA New Zealand Open ",6132,2016-03-13,"PGA Tour Australasia",NA,NA,2016-03-09
"Tjaart Van Der Walt",5937,"RSA","463","BMW ISPS HANDA New Zealand Open ",6132,2016-03-13,"PGA Tour Australasia",NA,NA,2016-03-09
"Matthew Griffin",9780,"AUS","489","BMW ISPS HANDA New Zealand Open ",6132,2016-03-13,"PGA Tour Australasia",NA,NA,2016-03-09
"Geoff Drakeford",15848,"AUS","490","BMW ISPS HANDA New Zealand Open ",6132,2016-03-13,"PGA Tour Australasia",NA,NA,2016-03-09
"Steven Alker",4871,"NZL","500","BMW ISPS HANDA New Zealand Open ",6132,2016-03-13,"PGA Tour Australasia",NA,NA,2016-03-09
"Sean Riordan",16935,"NZL","501","BMW ISPS HANDA New Zealand Open ",6132,2016-03-13,"PGA Tour Australasia",NA,NA,2016-03-09
"Josh Younger",11828,"AUS","558","BMW ISPS HANDA New Zealand Open ",6132,2016-03-13,"PGA Tour Australasia",NA,NA,2016-03-09
"Jake Higginbottom",15849,"AUS","570","BMW ISPS HANDA New Zealand Open ",6132,2016-03-13,"PGA Tour Australasia",NA,NA,2016-03-09
"Michael Long",4865,"NZL","585","BMW ISPS HANDA New Zealand Open ",6132,2016-03-13,"PGA Tour Australasia",NA,NA,2016-03-09
"Daniel Nisbet",11823,"AUS","614","BMW ISPS HANDA New Zealand Open ",6132,2016-03-13,"PGA Tour Australasia",NA,NA,2016-03-09
"Aaron Pike",10828,"AUS","634","BMW ISPS HANDA New Zealand Open ",6132,2016-03-13,"PGA Tour Australasia",NA,NA,2016-03-09
"Matthew Giles",9783,"AUS","647","BMW ISPS HANDA New Zealand Open ",6132,2016-03-13,"PGA Tour Australasia",NA,NA,2016-03-09
"Ashley Hall",7708,"AUS","660","BMW ISPS HANDA New Zealand Open ",6132,2016-03-13,"PGA Tour Australasia",NA,NA,2016-03-09
"Daniel Pearce",16933,"NZL","663","BMW ISPS HANDA New Zealand Open ",6132,2016-03-13,"PGA Tour Australasia",NA,NA,2016-03-09
"Kristopher R Mueck",15933,"AUS","668","BMW ISPS HANDA New Zealand Open ",6132,2016-03-13,"PGA Tour Australasia",NA,NA,2016-03-09
"Soonsang Hong",7020,"KOR","671","BMW ISPS HANDA New Zealand Open ",6132,2016-03-13,"PGA Tour Australasia",NA,NA,2016-03-09
"Aaron Townsend",8415,"AUS","672","BMW ISPS HANDA New Zealand Open ",6132,2016-03-13,"PGA Tour Australasia",NA,NA,2016-03-09
"Andrew Evans",15589,"AUS","699","BMW ISPS HANDA New Zealand Open ",6132,2016-03-13,"PGA Tour Australasia",NA,NA,2016-03-09
"Rourke Van der Spuy",18827,"RSA","707","BMW ISPS HANDA New Zealand Open ",6132,2016-03-13,"PGA Tour Australasia",NA,NA,2016-03-09
"Jarryd Felton",16835,"AUS","709","BMW ISPS HANDA New Zealand Open ",6132,2016-03-13,"PGA Tour Australasia",NA,NA,2016-03-09
"Daniel Valente",15943,"AUS","725","BMW ISPS HANDA New Zealand Open ",6132,2016-03-13,"PGA Tour Australasia",NA,NA,2016-03-09
"David Smail",4986,"NZL","764","BMW ISPS HANDA New Zealand Open ",6132,2016-03-13,"PGA Tour Australasia",NA,NA,2016-03-09
"Steven Jeffress",7481,"AUS","775","BMW ISPS HANDA New Zealand Open ",6132,2016-03-13,"PGA Tour Australasia",NA,NA,2016-03-09
"Gareth Paddison",6397,"NZL","802","BMW ISPS HANDA New Zealand Open ",6132,2016-03-13,"PGA Tour Australasia",NA,NA,2016-03-09
"Anthony Brown",7086,"AUS","823","BMW ISPS HANDA New Zealand Open ",6132,2016-03-13,"PGA Tour Australasia",NA,NA,2016-03-09
"Alistair Presnell",7089,"AUS","829","BMW ISPS HANDA New Zealand Open ",6132,2016-03-13,"PGA Tour Australasia",NA,NA,2016-03-09
"Michael Wright",6535,"AUS","834","BMW ISPS HANDA New Zealand Open ",6132,2016-03-13,"PGA Tour Australasia",NA,NA,2016-03-09
"Adam Stephens",11814,"AUS","905","BMW ISPS HANDA New Zealand Open ",6132,2016-03-13,"PGA Tour Australasia",NA,NA,2016-03-09
"Tim Hart",15920,"AUS","916","BMW ISPS HANDA New Zealand Open ",6132,2016-03-13,"PGA Tour Australasia",NA,NA,2016-03-09
"Brad Shilton",8412,"NZL","919","BMW ISPS HANDA New Zealand Open ",6132,2016-03-13,"PGA Tour Australasia",NA,NA,2016-03-09
"Neven Basic",7700,"AUS","964","BMW ISPS HANDA New Zealand Open ",6132,2016-03-13,"PGA Tour Australasia",NA,NA,2016-03-09
"Ray Beaufils",12826,"AUS","970","BMW ISPS HANDA New Zealand Open ",6132,2016-03-13,"PGA Tour Australasia",NA,NA,2016-03-09
"Peter Wilson",7944,"AUS","982","BMW ISPS HANDA New Zealand Open ",6132,2016-03-13,"PGA Tour Australasia",NA,NA,2016-03-09
"Anthony Summers",5233,"AUS","982","BMW ISPS HANDA New Zealand Open ",6132,2016-03-13,"PGA Tour Australasia",NA,NA,2016-03-09
"David Lutterus",8388,"AUS","984","BMW ISPS HANDA New Zealand Open ",6132,2016-03-13,"PGA Tour Australasia",NA,NA,2016-03-09
"Daniel Chopra",2035,"SWE","991","BMW ISPS HANDA New Zealand Open ",6132,2016-03-13,"PGA Tour Australasia",NA,NA,2016-03-09
"Brett Rankin",11820,"AUS","1016","BMW ISPS HANDA New Zealand Open ",6132,2016-03-13,"PGA Tour Australasia",NA,NA,2016-03-09
"David Klein",15851,"GER","1016","BMW ISPS HANDA New Zealand Open ",6132,2016-03-13,"PGA Tour Australasia",NA,NA,2016-03-09
"Adam Blyth",7704,"AUS","1032","BMW ISPS HANDA New Zealand Open ",6132,2016-03-13,"PGA Tour Australasia",NA,NA,2016-03-09
"Anthony Houston",15924,"AUS","1037","BMW ISPS HANDA New Zealand Open ",6132,2016-03-13,"PGA Tour Australasia",NA,NA,2016-03-09
"Scott Laycock",3472,"AUS","1038","BMW ISPS HANDA New Zealand Open ",6132,2016-03-13,"PGA Tour Australasia",NA,NA,2016-03-09
"Peter Fowler",497,"AUS","1072","BMW ISPS HANDA New Zealand Open ",6132,2016-03-13,"PGA Tour Australasia",NA,NA,2016-03-09
"Maxwell McCardle",13674,"AUS","1099","BMW ISPS HANDA New Zealand Open ",6132,2016-03-13,"PGA Tour Australasia",NA,NA,2016-03-09
"Mark Brown",3486,"NZL","1106","BMW ISPS HANDA New Zealand Open ",6132,2016-03-13,"PGA Tour Australasia",NA,NA,2016-03-09
"Rory Bourke",15845,"AUS","1143","BMW ISPS HANDA New Zealand Open ",6132,2016-03-13,"PGA Tour Australasia",NA,NA,2016-03-09
"Ryan Lynch",12830,"AUS","1146","BMW ISPS HANDA New Zealand Open ",6132,2016-03-13,"PGA Tour Australasia",NA,NA,2016-03-09
"Christopher Wood",16012,"AUS","1156","BMW ISPS HANDA New Zealand Open ",6132,2016-03-13,"PGA Tour Australasia",NA,NA,2016-03-09
"Jared Pender",12751,"NZL","1171","BMW ISPS HANDA New Zealand Open ",6132,2016-03-13,"PGA Tour Australasia",NA,NA,2016-03-09
"Lucas Herbert",17064,"AUS","1239","BMW ISPS HANDA New Zealand Open ",6132,2016-03-13,"PGA Tour Australasia",NA,NA,2016-03-09
"Mitchell Brown",8385,"AUS","1267","BMW ISPS HANDA New Zealand Open ",6132,2016-03-13,"PGA Tour Australasia",NA,NA,2016-03-09
"Jake McLeod(Am)",17146,"AUS","1313","BMW ISPS HANDA New Zealand Open ",6132,2016-03-13,"PGA Tour Australasia",NA,NA,2016-03-09
"Ryan Carter",11039,"USA","1344","BMW ISPS HANDA New Zealand Open ",6132,2016-03-13,"PGA Tour Australasia",NA,NA,2016-03-09
"Harry Bateman",16921,"NZL","1372","BMW ISPS HANDA New Zealand Open ",6132,2016-03-13,"PGA Tour Australasia",NA,NA,2016-03-09
"Chris Gaunt",6251,"AUS","1421","BMW ISPS HANDA New Zealand Open ",6132,2016-03-13,"PGA Tour Australasia",NA,NA,2016-03-09
"Mathew Perry",15894,"NZL","1470","BMW ISPS HANDA New Zealand Open ",6132,2016-03-13,"PGA Tour Australasia",NA,NA,2016-03-09
"Nick Gillespie",12747,"NZL","1490","BMW ISPS HANDA New Zealand Open ",6132,2016-03-13,"PGA Tour Australasia",NA,NA,2016-03-09
"Kota Kagasaki",16022,"AUS","1535","BMW ISPS HANDA New Zealand Open ",6132,2016-03-13,"PGA Tour Australasia",NA,NA,2016-03-09
"Luke Toomey(am)",17889,"NZL","1535","BMW ISPS HANDA New Zealand Open ",6132,2016-03-13,"PGA Tour Australasia",NA,NA,2016-03-09
"Callan O'Reilly",16968,"AUS","1592","BMW ISPS HANDA New Zealand Open ",6132,2016-03-13,"PGA Tour Australasia",NA,NA,2016-03-09
